scorer,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW
bodyparts,leftLip,leftLip,rightLip,rightLip,topleftinner,topleftinner,bottomleftinner,bottomleftinner,topmidinner,topmidinner,bottommidinner,bottommidinner,toprightinner,toprightinner,bottomrightinner,bottomrightinner
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data\File162\img043.png,77.53966093786448,108.14297379267438,266.5123648806283,113.27556575161364,126.06598491329027,103.47698110272961,125.59938564429578,120.27455478653084,164.3271249708375,103.94358037172407,164.3271249708375,124.94054747647561,203.9880628353682,103.47698110272961,204.45466210436265,123.0741504004977
labeled-data\File162\img086.png,76.60646239987554,108.14297379267438,266.5123648806283,113.74216502060813,135.8645695621743,103.01038183373512,134.93137102418538,117.00835990356947,168.52651839178785,102.07718329574615,168.05991912279333,120.7411540555253,208.18745625631848,103.01038183373512,209.12065479430746,120.27455478653084
labeled-data\File162\img179.png,77.53966093786448,99.74418695077378,265.5791663426394,107.20977525468544,124.19958783731235,103.01038183373512,124.19958783731235,114.6753635585971,164.3271249708375,103.47698110272961,162.92732716385407,118.87475697954739,206.3210591803406,102.07718329574615,205.85445991134608,115.60856209658604
labeled-data\File162\img193.png,76.13986313088105,96.47799206781241,270.2451590325842,100.67738548876272,126.99918345127921,91.81199937786764,124.19958783731235,110.47597013764678,164.79372423983202,94.14499572284004,165.72692277782093,118.87475697954739,208.654055525313,95.07819426082898,209.12065479430746,112.80896648261918
labeled-data\File162\img207.png,85.93844777976511,108.14297379267438,263.71276926666144,108.14297379267438,140.06396298312464,104.87677890971304,138.66416517614115,123.0741504004977,172.72591181273813,105.3433781787075,172.25931254374368,129.13994089742593,215.18644529123569,103.01038183373512,214.71984602224123,119.34135624854187
labeled-data\File162\img216.png,93.87063535267126,108.60957306166887,254.84738315576638,113.27556575161364,137.26436736915772,111.87576794463021,137.26436736915778,116.54176063457501,174.12570961972156,115.14196282759156,174.12570961972156,117.47495917256396,212.85344894626328,115.14196282759156,213.32004821525774,116.07516136558053
labeled-data\File162\img223.png,78.47285947585345,101.14398475775721,279.11054514347927,106.27657671669647,127.93238198926818,86.67940741892838,126.06598491329027,122.60755113150321,171.3261140057547,87.14600668792286,170.8595147367602,130.53973870440936,217.5194416362081,89.47900303289524,217.98604090520254,125.87374601446456
labeled-data\File162\img253.png,77.07306166887,103.47698110272961,270.7117583015786,106.27657671669647,127.93238198926815,99.74418695077375,128.86558052725715,106.74317598569093,167.12672058480436,101.14398475775721,167.59331985379887,108.60957306166887,214.25324675324666,99.74418695077378,214.2532467532467,106.74317598569098
labeled-data\File162\img266.png,83.13885216579823,109.07617233066335,263.71276926666144,115.60856209658604,125.59938564429578,117.47495917256398,126.06598491329021,120.7411540555253,168.52651839178785,124.47394820748113,168.05991912279333,125.87374601446456,213.78664748425226,119.3413562485419,214.2532467532467,121.20775332451979
labeled-data\File162\img282.png,83.13885216579823,99.2775876817793,272.1115561085621,106.74317598569095,121.39999222334546,86.67940741892838,121.39999222334546,118.87475697954739,173.1925110817326,85.27960961194495,170.85951473676025,135.20573139435413,225.91822847810872,89.47900303289524,225.45162920911426,125.40714674547007
labeled-data\File162\img291.png,78.93945874484791,96.01139279881795,271.1783575705731,100.67738548876272,127.93238198926818,92.27859864686212,127.93238198926818,99.74418695077378,168.52651839178785,94.14499572284004,168.05991912279333,103.01038183373512,210.52045260129088,95.07819426082898,210.05385333229643,100.67738548876272
labeled-data\File162\img311.png,73.80686678590865,99.74418695077378,283.30993856442956,103.47698110272961,127.93238198926818,85.27960961194495,127.46578272027372,129.6065401664204,171.3261140057547,84.34641107395598,170.8595147367602,142.2047204292713,222.65203359514734,89.01240376390078,222.65203359514734,131.9395365113928
labeled-data\File162\img344.png,73.34026751691417,95.07819426082898,262.312971459678,105.80997744770198,117.66719807138966,86.67940741892838,117.20059880239515,124.47394820748113,159.6611322808927,87.14600668792283,158.26133447390927,132.87273504938173,212.38684967726877,91.81199937786761,211.4536511392799,127.27354382144799
labeled-data\File162\img368.png,73.80686678590865,98.81098841278481,267.9121626876117,106.27657671669647,116.2674002644062,81.08021619099463,115.33420172641726,133.8059335873707,165.26032350882642,85.27960961194492,163.8605257018431,148.27051092619956,217.05284236721357,89.01240376390075,216.11964382922466,134.73913212535967
labeled-data\File162\img382.png,84.53864997278166,106.74317598569095,261.3797729216891,108.60957306166887,127.93238198926818,110.0093708686523,127.46578272027364,112.34236721362467,169.92631619877127,111.87576794463021,169.45971692977676,113.74216502060816,215.65304456023014,107.67637452367993,215.65304456023014,109.54277159965784
labeled-data\File162\img414.png,86.87164631775406,105.34337817870752,273.04475464655104,109.07617233066335,126.06598491329027,99.2775876817793,126.53258418228475,127.27354382144799,172.25931254374368,96.47799206781241,172.72591181273813,138.4719262773155,217.05284236721357,94.61159499183452,218.45264017419706,130.07313943541487
labeled-data\File162\img439.png,80.33925655183137,103.47698110272961,272.1115561085621,110.47597013764678,124.66618710630684,98.81098841278481,123.26638929932338,117.00835990356947,168.99311766078225,97.87778987479587,169.45971692977676,127.27354382144802,216.58624309821911,99.2775876817793,216.11964382922466,121.20775332451981
