scorer,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW
bodyparts,leftLip,leftLip,rightLip,rightLip,topleftinner,topleftinner,bottomleftinner,bottomleftinner,topmidinner,topmidinner,bottommidinner,bottommidinner,toprightinner,toprightinner,bottomrightinner,bottomrightinner
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data\002_cal\img018.png,95.83421913,107.789802,233.6691899,110.6229102,121.4842894,97.34932109,121.9869793,99.35750247,154.9582757,100.3989727,154.527767,101.5461366,194.6037462,97.31323054,194.1732374,98.53257559
labeled-data\002_cal\img115.png,94.18436536,113.2059625,231.0861376,114.9279974,120.9429312,95.98819173,122.0204919,119.5553217,152.733551,90.81950922,153.7028401,126.2294957,192.2398151,95.55768301,192.2733277,122.8215165
labeled-data\002_cal\img146.png,96.33690895,106.7483318,231.0861376,108.0398579,120.3723869,83.7526205,121.8149687,126.8815377,153.3445125,79.62628256,155.3887844,139.7918093,193.1730136,86.26694398,198.2451079,132.6878953
labeled-data\002_cal\img241.png,88.15724331,108.0398579,230.2251202,111.5342796,120.017406,96.66788204,121.3592841,110.9275392,152.3030423,92.54154409,152.3030423,118.3720672,191.4994763,99.30128624,191.2477169,114.8021177
labeled-data\002_cal\img247.png,96.76741767,112.3449451,223.3369807,116.2195236,124.118568,108.1405617,124.118568,108.7498197,152.7587269,110.74879,152.3282182,115.8393667,187.3731384,110.7991419,186.4617691,110.0665218
labeled-data\002_cal\img251.png,98.91996125,114.9279974,223.3369807,116.6500323,123.7132352,106.8238596,125.180993,115.5372554,149.71999,106.7483318,148.7079168,126.2219279,185.0670215,109.5579676,183.9794206,116.8036056
labeled-data\002_cal\img285.png,90.74029562,107.6093492,231.9471551,108.0398579,119.4861935,95.78168865,121.2837562,112.5992222,150.1504987,91.25001794,151.3916729,122.4228773,189.5231644,97.62960326,188.7905443,113.4350637
labeled-data\005_xaud\img036.png,74.38096434,88.66696563,249.1675038,97.7076487,114.0909878,73.87609594,114.0406359,73.57398456,154.0250771,75.95311168,154.4555859,77.0180543,206.1392903,78.25671096,206.1644663,78.84079297
labeled-data\005_xaud\img217.png,76.63421172,84.84273907,246.6599793,95.63063296,117.5123992,63.94921948,117.2581221,79.0698941,158.8110249,67.6979182,157.0134622,85.22289589,206.8719104,72.53421789,203.2012572,83.95654568
labeled-data\005_xaud\img257.png,80.78824321,91.7560545,239.6207841,102.0379118,113.3331917,73.37005938,119.6372492,98.03745363,155.2410754,71.39626502,156.9882863,109.7618928,199.3518546,77.29498973,200.1373442,110.6732621
labeled-data\005_xaud\img278.png,77.82503408,88.31198476,248.6866432,96.54200229,117.6634548,66.45674394,118.650352,86.81905102,158.3049884,69.749758,157.4439709,92.13621132,206.4162258,73.39523533,204.9988199,91.73087855
labeled-data\005_xaud\img323.png,79.97757767,81.80400209,244.5074357,92.51636814,120.1961553,63.89886759,119.4106657,75.44959272,160.0018473,68.96426841,159.1660058,78.91883841,206.5421055,70.07704533,205.5552083,78.99436625
labeled-data\005_xaud\img338.png,73.54512285,107.5338214,233.364561,111.9899642,110.0930472,78.88862727,114.8513014,113.3847118,156.026565,72.68779118,153.9243733,124.804522,199.5557798,81.24509604,196.9727275,123.0573112
labeled-data\005_xaud\img358.png,77.82503408,91.68052666,246.5844515,102.0127359,117.9932598,70.35649835,119.6120733,93.7071905,158.1539327,75.7517041,158.760673,101.0761906,205.0995237,80.81458732,202.8462763,100.2655251
labeled-data\006_xaud\img0032.png,85.54901505,104.6209641,224.6285069,103.7347708,119.6876011,97.32749188,119.6624251,106.622452,153.8236695,96.36577065,153.5190406,111.4335758,188.5916543,98.56866614,188.6168302,108.2689591
labeled-data\006_xaud\img0111.png,86.86571716,108.5710704,220.8042803,105.4568056,117.9655662,98.59384209,119.7631289,116.0936438,154.4555859,95.98561383,153.5945684,122.7526822,187.9068685,98.59384209,191.1218371,120.4742589
labeled-data\006_xaud\img0199.png,85.574191,100.315877,219.8425591,98.92364701,120.4730907,96.87180722,120.5486185,104.3943806,155.2662514,96.89698317,154.8609186,110.5977343,188.0352658,97.27713999,189.5281996,107.8888022
labeled-data\006_xaud\img0210.png,84.28266485,106.342999,223.3369807,106.368175,117.9655662,97.45337163,115.7374948,120.2451577,153.9747252,93.88342214,151.6963019,130.8291264,189.9083564,94.81996742,188.9214592,122.2969975
labeled-data\006_xaud\img0309.png,85.574191,106.2674712,222.0454545,105.4316297,118.1946674,100.0364239,118.650352,111.3832239,154.2793542,99.1250546,153.013004,115.3836821,190.4395689,100.315877,190.8952536,113.4854156
labeled-data\006_xaud\img0391.png,83.39647146,99.45485952,222.9316479,96.4412985,119.4106657,96.99768696,119.4106657,103.5585391,156.1020929,94.28875491,154.405234,110.6480862,190.5150968,95.17494829,190.5150968,104.3188528
labeled-data\006_xaud\img0531.png,83.85215613,106.7483318,219.892911,106.3178231,116.6488641,97.30231594,117.1045488,120.5246107,154.075429,93.88342214,153.1388837,129.7918774,187.8816926,96.03596573,190.5402727,122.5260986
