scorer,,,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW
bodyparts,,,vallecula,vallecula,tongueRoot1,tongueRoot1,tongueRoot2,tongueRoot2,tongueBody1,tongueBody1,tongueBody2,tongueBody2,tongueDorsum1,tongueDorsum1,tongueDorsum2,tongueDorsum2,tongueBlade1,tongueBlade1,tongueBlade2,tongueBlade2,tongueTip1,tongueTip1,tongueTip2,tongueTip2,hyoid,hyoid,mandible,mandible,shortTendon,shortTendon,thyroid1,thyroid1,thyroid2,thyroid2
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,ArticulateAnonymized_05,img016.png,121.22540273464972,147.79281682650245,124.9310761893324,122.26484413868825,136.87157954331,99.20732042066255,152.51775635197032,81.09069464221378,173.10483110020755,69.97367427816567,196.9858378081628,65.03277633858875,220.04336152618853,73.26760623788363,228.2859496770709,81.90641938055577,236.52077957636573,89.73726603647341,246.4258502102821,97.16412944901379,255.9114210976462,104.17925136658948,125.34281768429716,161.38028616033898,215.1024635866115,170.43859904956335,212.22027312185824,149.85152430132612,,,,
labeled-data,ArticulateAnonymized_05,img029.png,123.28411020947344,150.6750072912556,126.57804216919138,123.91181011854724,135.63635505841577,101.677769390451,150.04730738218186,81.91417763214326,169.39915764552487,71.20889876305989,194.10364734340956,69.15019128823619,215.5142050815763,80.67895314724902,226.21948395065962,87.67855856164968,238.6105200575394,94.2896972358481,250.17031492290224,99.24611167859999,261.2950935385379,108.35097407734935,120.813661239685,165.49770110998645,213.0359978602003,170.45411555273836,210.61209839993674,150.70604029760557,,,,
labeled-data,ArticulateAnonymized_05,img041.png,118.34321226989655,144.9106263617492,114.1016652948492,115.66146371607738,128.17845863952545,92.19995675467439,148.40034140232288,78.20850417746055,170.65765688518158,76.97327969256631,192.89945586486525,79.44372866235477,213.87499735330476,83.95736860379202,226.25051695700958,86.87059207489523,238.6493113154768,90.60729853592784,250.21686443242723,95.983212725232,260.945418056273,105.4998166189461,122.8723687145087,164.67421812005693,213.8672391017172,170.8503405445281,210.18484040179695,148.60078331325693,,,,
labeled-data,ArticulateAnonymized_05,img046.png,119.57843675479074,139.96972842217227,116.69624629003752,114.03001423939337,129.87197412890936,90.14900753143816,148.40034140232288,76.97327969256631,171.4578651203486,76.56153819760164,194.51538883837424,77.38502118753107,215.92594657654095,80.67895314724902,226.6312254456244,86.0315925817907,238.6105200575394,91.8114900144721,249.75081517634993,97.17188770060135,263.3460427617741,98.8188536804603,123.69585170443818,164.6742181200569,212.63201461682297,170.85034054452814,208.9263411621403,149.0280413113967,,,,
labeled-data,ArticulateAnonymized_05,img065.png,119.43878822621579,137.24270298916886,111.56139206077333,109.99018180562088,126.09647640993923,84.90498361912134,146.71458416452649,67.52650006313968,171.87736486690088,62.150585873835496,194.989196346039,72.07117301092686,213.49428886468982,82.34143563028303,223.77230973563363,88.1213330629644,234.92036310603166,93.48173074909359,244.83319199153547,97.5293214344536,257.7601016187801,98.59386438442297,129.87197412890936,152.73371476607934,213.45549760675252,170.43859904956338,210.16156564703462,149.02804131139663,,,,
labeled-data,ArticulateAnonymized_05,img072.png,119.4387882262159,137.6622027357211,134.24596554177168,111.22540629051505,151.67099860727836,88.51755805475415,167.7754664204284,67.50322530837721,189.69086467260976,54.265431456805466,211.9326636522934,63.051651379639935,230.42999791935694,76.20410446374933,240.32731030168588,84.05822587442941,249.81288118904993,91.08110604359248,259.7024353197914,97.6534534598535,270.0425222034349,100.85428640052149,129.87197412890936,160.14506167544477,225.02305072370282,167.67278235862258,222.5913930118518,144.11817637816966,,,,
labeled-data,ArticulateAnonymized_05,img077.png,121.598352971677,136.72234597197928,117.43438851250461,109.91259928974593,132.75416459366258,84.38462660193173,154.16472233182932,69.56193278320094,180.1044365146082,62.56232736880023,206.96073270636649,67.10700031658743,229.60651492942756,78.24729543539797,241.57029303816765,83.59993486993972,253.54958765008254,89.81484855234834,265.1093825154455,96.00648747999448,277.5236933770876,101.7553519063259,129.04849113897987,158.08635420062103,229.10167441541284,166.77171685281817,229.10167441541276,144.08714337181974,,,,
labeled-data,ArticulateAnonymized_05,img097.png,119.9901782497555,137.08753795741904,134.81287206848629,111.97130676456962,150.46680712873408,90.1102162735007,166.61006619982152,69.08036702394878,191.40765491675614,58.37508815486535,214.8303706202217,64.6831008563239,237.89565258983487,74.5571384838903,248.60093145891815,79.91753617001947,259.32172683117653,86.10917509766563,269.22679746509283,93.15533002159123,278.30838510907967,99.75095219261465,125.3428176842972,163.85073513012745,225.8077424556949,166.73292559488064,224.98425946576543,144.9106263617492,,,,
labeled-data,ArticulateAnonymized_05,img100.png,121.22540273464972,136.67579646245431,127.4015251591209,110.7360822796754,141.39297773633473,88.94481605289391,159.9291032613357,70.78939901650764,184.29167572854305,59.641345646109585,210.246906414497,62.57784387197523,230.8494976659092,73.73365549396084,242.37050127333455,78.25505368698552,253.94581264187238,83.59993486993972,265.04731650274545,90.22659004731307,275.3718868832141,96.38719596860926,125.34281768429716,160.96854466537425,228.27819142548336,166.37549186102837,225.7844677009324,145.78065886120368,,,,
labeled-data,ArticulateAnonymized_05,img103.png,122.82581920498373,136.349395734952,119.89707923070564,109.58619856224354,133.90404831109436,83.18819337497496,159.10562027140622,67.09148381341245,185.13067522164755,60.50361989397655,210.6741644126367,65.48330909149098,231.70401366218866,76.1885879605743,241.97427628154477,81.14500240332623,252.26005540407593,86.90938333283262,263.408108774474,93.11653876365375,273.74819565811765,100.54340217619419,130.69545711883885,153.96893925097356,230.7641568984468,164.67421812005696,226.60019243927434,144.9106263617492,,,,
labeled-data,ArticulateAnonymized_05,img116.png,121.20212797988728,131.85127229668973,115.81845553899561,100.48909441508172,127.77447539614816,76.20410446374927,150.8319991141739,62.15058587383552,178.08452029772192,64.20929334865923,201.5305107559499,71.19338225988491,225.3960009607301,81.91417763214326,236.10127982981348,86.85507557172016,248.8807826768956,91.39199026791987,262.49928501708206,95.91338846094456,275.2710296125767,97.55259618921608,131.51894010876833,149.85152430132615,229.51341591037757,163.4389936351627,227.04296694058905,144.0871433718197,,,,
labeled-data,ArticulateAnonymized_05,img132.png,130.69545711883885,134.61708898763058,121.98681971187929,107.54300759059484,125.2031691557223,79.93305267319448,142.12336170721431,60.138427908536755,170.63438213041908,57.621429429223326,192.05269812017332,71.21665701464735,208.53011617035062,89.76054079123585,219.6936860439237,98.84212843522282,231.65746415266366,106.67297509114039,241.13527678844028,113.26083901057629,251.85607216069866,120.27596092815196,127.4015251591209,156.02764672579733,215.5142050815763,172.49730652438708,214.69072209164673,151.91023177614986,,,,
labeled-data,ArticulateAnonymized_05,img169.png,124.09983494781542,142.47896864989818,131.51894010876833,118.55917068400557,145.51815093756966,96.73687145087403,161.5760692411947,79.03198716739004,182.16314398943197,69.15019128823619,206.89866669366657,66.6719840668602,228.3402574381833,77.81227918567077,239.06881106202908,82.78421013159769,249.80512293746247,87.3288830793849,260.5181600581333,91.86579777558455,272.95574567453815,93.45069774274364,127.4015251591209,163.43899363516272,215.92594657654104,170.43859904956338,213.5330801226274,149.89807381085103,,,,
labeled-data,ArticulateAnonymized_05,img196.png,110.52012386556638,141.61669440203124,108.86539963411987,114.83022247456037,116.2845047950728,88.4710085452292,139.45064403532342,72.41309024160418,167.47234044768854,69.95815777499067,195.48627860846605,75.35734671905732,218.91675256351905,86.90938333283262,230.43775617094448,91.85028127240955,243.24053377278895,93.0234397446039,257.2862941111153,97.97985418735578,267.9372652190863,106.30002485411305,127.81326665408565,157.67461270565627,224.1375017210734,166.81050811075556,224.16077647583586,144.11817637816966,,,,
labeled-data,ArticulateAnonymized_05,img212.png,130.28371562387414,123.08832712861775,127.81326665408564,92.6194565012266,131.9306816037331,63.38581035872977,151.67099860727834,45.27694283186847,181.3862105090274,41.555752874010814,209.86619792588215,46.069392815448026,227.49349969349132,63.471151126192154,233.7006551243125,75.02318773996748,241.56253478658002,84.53203338209408,251.87158866387367,88.18339907566434,265.0783495090954,91.01128177930514,132.34242309869782,151.4984902811851,226.21948395065962,164.67421812005693,224.57251797080067,142.44017739196073,,,,
labeled-data,ArticulateAnonymized_05,img222.png,121.52077045580208,134.31396301489067,118.28114625719658,107.14678259880506,126.56252566601643,79.94856917636943,144.25965169791303,60.10739490218677,171.46562337193606,55.127705704672394,198.70262805230925,64.65206784997395,222.6069095150269,77.43157069705597,234.16670438038958,83.62320962470218,246.55774048726946,88.99136556241888,258.9255018393868,93.08550575730388,272.5517624311608,94.6936804792253,132.34242309869782,151.4984902811851,229.51341591037757,165.0859596150217,225.39600096073016,143.67540187685498,,,,
labeled-data,ArticulateAnonymized_05,img249.png,118.71616250692382,135.51039624184747,116.25347178872278,109.13566580934139,131.07616560745362,88.07478355343945,154.22678834452924,73.19778197359616,178.99334405511388,62.49250310451288,207.01504046747897,66.29127557824546,227.14382421122656,78.65127867877524,239.06881106202914,84.01167636490445,249.79736468587495,90.2033152925506,259.6946770682039,95.56371297867977,269.56095644418275,103.00609289439512,127.81326665408564,155.61590523083257,228.68993292044806,166.3211840999159,225.89308322315728,143.24038562712772,,,,
labeled-data,ArticulateAnonymized_05,img275.png,125.34281768429716,139.96972842217227,118.31993751513406,115.29627173063759,129.8719741289094,91.38423201633242,148.40034140232288,76.56153819760158,172.7318808631803,69.12691653347372,200.75357727554538,69.56193278320092,224.60355097715066,79.45924516552978,235.27779683988402,85.20810959186122,247.24933320021154,90.5607490264029,257.55062882591767,97.97985418735578,267.43242470507147,105.4144758514837,129.87197412890936,159.73332018048,224.16853472742335,168.40316632950214,220.95994353516787,146.57310884478312,,,,
labeled-data,ArticulateAnonymized_05,img287.png,117.35680599662967,140.0162779316972,118.27338800560905,113.22980600422633,129.8331828709719,89.7527825396484,151.69427336204083,74.9145722177426,175.621829579521,67.89169204857947,201.1420440157477,66.26024257189545,225.88532497156976,77.42381244546854,236.14007108775087,84.83515935483393,246.86086646000933,90.59178203275286,257.1621620857154,96.76790445722403,267.0361997132818,104.16373486341445,129.46023263394463,158.4980956955858,220.01232851983852,170.87361529929058,220.1287022936509,148.61629981643193,,,,
labeled-data,ArticulateAnonymized_05,img309.png,118.16477248338416,143.00708391867533,115.75638952629566,114.94659624837271,127.3317008948335,87.32112482779738,148.3150006348605,72.9101725040313,175.57528006999598,66.6797423184477,201.95776875408964,65.03277633858875,225.8387754620448,76.99655444732886,236.15558759092593,83.6076931215272,246.4646414682195,89.36431579944613,255.9424541039961,96.38719596860926,266.6787659794295,104.2258008761144,129.87197412890936,160.5568031704095,214.69072209164673,174.14427250424606,213.04375611178776,149.85152430132615,,,,
