scorer,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW
bodyparts,vallecula,vallecula,tongueRoot1,tongueRoot1,tongueRoot2,tongueRoot2,tongueBody1,tongueBody1,tongueBody2,tongueBody2,tongueDorsum1,tongueDorsum1,tongueDorsum2,tongueDorsum2,tongueBlade1,tongueBlade1,tongueBlade2,tongueBlade2,tongueTip1,tongueTip1,tongueTip2,tongueTip2,hyoid,hyoid,mandible,mandible,shortTendon,shortTendon,thyroid1,thyroid1,thyroid2,thyroid2
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data\P13_100mlSpark\img003.png,116.70564612588139,88.73873126922437,124.74816555035255,66.4788026046122,140.03622594028207,50.010375564823704,155.79088553021154,37.05531158489422,172.47874362014102,27.778183979929487,191.3898826,21.35550976,209.5872541,23.6885061,,,,,,,,,128.3989813,94.61159499,201.1884672,116.0751614,197.45567309999998,94.14499572,107.2261919058484,130.08793254301838,,
labeled-data\P13_100mlSpark\img040.png,117.41941350574038,87.9423689846122,126.17570051007051,70.18447605929488,130.78621899063458,49.32434520468271,144.5647659704936,34.914625639717954,163.5307626553878,24.457131324894245,183.7319838251763,22.865023110070513,198.3888716,35.35348783,202.58826499999998,44.68547321,207.720857,53.08426005,215.6530446,60.08324909,,,129.68906348992948,95.32536242985897,199.7886694,115.6085621,196.9890738,94.14499572,108.04967489577788,129.67619104805365,,
labeled-data\P13_100mlSpark\img062.png,117.3090815812692,85.22536821936542,134.54675025035255,79.3802415783077,142.42346363091664,61.42942187376608,156.25625200141022,46.16786586475322,176.8143569611282,43.97170577014105,195.83521145105766,46.82615915517629,213.45549760675252,49.386599529928446,,,,,,,,,128.3989813,92.27859865,204.92126140000002,120.7411541,202.12166580000002,97.41119061,111.34360685549584,124.7352931084767,,
labeled-data\P13_100mlSpark\img076.png,128.6171795913397,86.13082967964743,146.9803571352468,75.59197326887184,155.43400174028204,53.85350164929488,166.74209975035254,35.216651584612165,185.70809653524682,24.97858835992949,208.1874563,25.55490318,226.851427,32.55389222,,,,,,,,,139.65222150503524,94.85876315985898,206.3210592,120.7411541,202.12166580000002,98.34438914,109.69664087563689,125.55877609840624,,
labeled-data\P13_100mlSpark\img080.png,126.50361431148073,84.84074741971796,144.53764522517625,72.90209320894235,150.6305564704936,50.88933271418912,164.21679307552884,33.29539672957696,183.81396237552886,25.50004540496473,206.29332214028204,24.731420190070512,225.45162919999999,32.08729295,,,,,,,,,142.39695930000002,94.61159499,204.4546621,121.20775330000001,202.12166580000002,97.87778987,110.10838237060159,129.2644495530889,,
labeled-data\P13_100mlSpark\img107.png,128.37124414028204,79.92758655985898,125.59938559999999,59.15005055,135.8645696,41.41927833,154.06194109999998,31.15409441,174.1257096,28.82109806,193.7228789,27.88789953,209.1206548,39.08628198,214.719846,48.88486663,,,,,,,144.20849859496474,87.28345930978847,206.3210592,120.27455479999999,203.05486430000002,97.87778987,113.40231433031957,124.32355161351197,,
labeled-data\P13_100mlSpark\img117.png,126.97144634028206,80.03730210992948,122.77205294028207,60.71442167510578,133.9981725,45.61867175,148.4627498,34.42028929,166.66012130000001,28.82109806,185.79069130000002,29.28769733,199.3220701,40.95267906,204.92126140000002,50.75126371,213.78664750000002,57.75025274,,,,,139.54250589496476,90.08305492978846,206.3210592,120.27455479999999,203.05486430000002,98.34438914,114.63753881521379,121.02961965379401,,
labeled-data\P13_100mlSpark\img133.png,124.6661871,87.61260596,120.4667937,70.81503227,134.93137099999998,57.75025274,153.5953418,53.08426005,172.7259118,50.28466444,190.456684,48.88486663,201.6550665,46.55187029,212.3868497,43.285675399999995,222.18543430000003,40.95267906,,,,,133.0649739,91.81199938,207.25425769999998,121.20775330000001,204.4546621,96.94459134,111.7553483504606,121.85310264372347,,
labeled-data\P13_100mlSpark\img147.png,131.6651761,79.21381912,128.8655805,61.48304689,137.7309666,44.68547321,153.12874250000002,33.02049148,170.39291550000002,26.02150245,191.3898826,23.6885061,206.7876584,32.08729295,213.32004819999997,40.48607979,,,,,,,141.9303601,86.67940742,205.38786059999998,118.874757,202.12166580000002,97.41119061,112.16708984542535,125.14703460344145,,
labeled-data\P13_100mlSpark\img155.png,136.3311688,79.21381912,130.59452493021155,61.42818911496473,141.9303601,44.21887394,159.66113230000002,33.95369002,176.9253052,26.02150245,196.52247450000002,26.02150245,210.98705189999998,36.28668637,216.5862431,45.15207248,,,,,,,143.7967571,86.21280815,207.720857,121.20775330000001,202.58826499999998,97.41119061,109.69664087563689,125.55877609840621,,
labeled-data\P13_100mlSpark\img216.png,130.9779130510577,75.3441887146122,129.44127899566985,55.088109749788494,141.95748074531727,37.769079024753225,159.93542112517628,30.71523221971798,178.2425082352468,25.280614314823705,197.26336262517623,22.39842385007051,213.78664750000002,27.88789953,222.6520336,32.55389222,,,,,,,141.9303601,85.00532074482373,204.4546621,119.80795549999999,201.6550665,97.41119061,112.57883134039008,124.32355161351194,,
labeled-data\P13_100mlSpark\img239.png,130.67711979496477,76.55167612978846,127.57549831007051,56.24073938992949,137.7309666,40.48607979,154.9951396,31.62069368,174.1257096,26.02150245,192.7896804,23.22190684,208.1874563,30.22089587,212.85344890000002,40.01948052,216.1196438,49.81806517,,,,,139.1307644,88.54580449,204.92126140000002,118.874757,202.58826499999998,98.34438914,108.46141639074261,124.7352931084767,,
labeled-data\P13_100mlSpark\img278.png,124.88500180574036,83.24863921489424,121.6736647107756,62.22393503517627,140.66739845538785,53.96260081496476,160.45687823021152,50.120091114894215,179.17570673524676,46.442154739929485,195.589276,38.15308344,208.1874563,29.28769733,218.4526402,31.15409441,229.18442340000001,34.42028929,,,,,133.0649739,90.87880084,204.4546621,118.874757,203.05486430000002,97.87778987,108.87315788570737,124.7352931084767,,
labeled-data\P13_100mlSpark\img347.png,121.3999922,86.67940742,130.2653783,68.94863520000001,140.063963,51.68446224,150.27428909496473,38.784256035105784,166.27611686475322,30.852068465105752,182.9639750546827,23.74336387503527,198.05972496978848,33.048228559717955,203.24717467482373,40.10207537475319,208.07774068992944,47.97940516971798,211.8105348899295,56.37819200971795,,,128.8655805,99.27758768,203.9880628,120.7411541,203.5214636,98.34438914,116.69624629003752,123.50006862358248,,
labeled-data\P13_100mlSpark\img365.png,122.3874321906346,85.41706223978846,135.56254361510574,71.25451084468268,142.2595067302115,52.80997118482374,154.96740254028205,38.56482493496476,173.41194222014101,38.20794121503524,189.0568862,44.21887394,203.05486430000002,50.28466444,213.32004819999997,52.61766078,223.5852321,54.95065713,,,,,129.3321798,96.94459134,205.38786059999998,120.7411541,203.5214636,97.87778987,113.40231433031957,122.67658563365299,,
labeled-data\P13_100mlSpark\img371.png,120.60301354098715,85.91139857950641,128.23317515609295,69.16868267454174,146.51314152084612,61.64823659950645,162.8989737258814,55.2255623795769,180.16314662588135,49.6812289246122,194.54512916112816,45.536693279647466,209.69573688126917,42.352476859999975,,,,,,,,,133.5315732,94.14499572,206.3210592,120.7411541,204.4546621,97.41119061,114.63753881521382,120.20613666386453,,
labeled-data\P13_100mlSpark\img380.png,127.9311492711987,87.25633861447118,139.18500579063456,73.03892945433014,154.96740254028208,61.56625811915386,170.612346520141,49.544392679224394,180.38319416042305,33.29539672957696,193.5299521107756,22.81016534503527,213.81376814531725,27.997615070070513,,,,,,,,,142.86355859999998,94.61159499,207.25425769999998,119.80795549999999,204.92126140000002,97.41119061,117.10798778500228,118.97091217897028,,
labeled-data\P13_100mlSpark\img388.png,130.18155070644545,84.78588964468271,145.47084382517627,70.51362270950642,152.93643212517625,51.492768229576924,166.193522,35.35348783,181.1246987,24.15510537,199.7886694,21.82210903,214.36296231007046,27.47615803503527,224.9850299,33.02049148,,,,,,,148.9293491,93.21179718,206.7876584,121.20775330000001,204.4546621,97.87778987,117.51972927996701,123.08832712861772,,
labeled-data\P13_100mlSpark\img412.png,131.80262876978847,85.47192001482374,129.2224642899295,64.63952622992949,141.4637608,50.75126371,160.59433080000002,39.55288125,179.25830159999998,31.15409441,196.0558753,22.2887083,214.06093632517627,26.95470099,223.80466322014095,31.20895218503527,,,,,,,135.39797030000003,96.47799207,207.720857,121.20775330000001,205.85445990000002,97.41119061,111.34360685549589,126.79400058330043,,
labeled-data\P13_100mlSpark\img414.png,125.32448036042308,87.33831708482373,127.10889901007052,66.01158696021153,140.5305623,53.08426005,156.3949374,41.41927833,173.1925111,31.62069368,192.7896804,23.6885061,213.73178969496468,28.299641024964757,223.7226847697885,33.322517434894216,,,,,,,132.5983747,98.81098841,204.92126140000002,117.4749592,202.58826499999998,95.07819426,110.93186536053113,125.14703460344145,,
labeled-data\P13_100mlSpark\img441.png,119.72528916042307,91.53771050482374,130.04594727985898,71.63851525992949,139.5973637,54.48405786,151.26234540000002,38.61968271,166.66012130000001,27.42130026,188.837455179859,21.35550976,210.24616377482374,28.437093644753222,216.83341127985906,37.71422124971798,221.85628766978846,49.57151337454169,,,,,129.3321798,99.27758768,203.9880628,116.54176059999999,202.58826499999998,96.47799207,,,,
labeled-data\P13_100mlSpark\img466.png,119.78014696545831,91.73002090964744,126.86173083021151,70.95248489978846,135.61740142014102,50.641548159929485,149.14878022014102,36.17697081992949,166.93441022517626,30.632637364964758,182.79878532517628,37.98851012489425,195.589276,48.41826736,203.5214636,53.08426005,211.4536511,55.4172564,220.31903730000002,57.28365347,,,127.4657827,99.27758768,205.85445990000002,119.34135619999999,204.92126140000002,97.41119061,,,,
labeled-data\P13_100mlSpark\img483.png,116.32164169063458,87.69520080475323,118.10606024028202,68.67434632482373,131.17083984028207,56.131023839858976,147.28238312014102,47.43021104496476,167.1267206,45.61867175,182.9910957,49.3514659,198.8554709,51.68446224,207.720857,53.55085932,217.51944159999996,55.4172564,,,,,127.932382,97.41119061,206.7876584,120.27455479999999,205.38786059999998,98.34438914,,,,
labeled-data\P13_100mlSpark\img522.png,128.23317515609293,83.33123406964746,119.69693568630444,65.40815144482372,130.59390861581088,49.13203479985898,148.59958605538782,39.635476104753224,167.94958717552882,34.31057373992952,185.26861788056408,26.982438059717953,203.21882120070512,23.413600850423045,212.02934959566986,28.683645440211507,221.2785860110827,31.681715246444412,,,,,144.72995569999998,91.34540011,205.85445990000002,119.34135619999999,203.9880628,98.2346735999295,111.75534835046062,126.38225908833567,,
labeled-data\P13_100mlSpark\img535.png,122.85341507623394,83.08406588978846,124.85788116042303,62.93770247503525,135.56254361510574,45.97555546992949,153.12874250000002,34.42028929,174.1257096,28.82109806,194.1894782,23.6885061,213.78664750000002,27.88789953,223.5852321,31.62069368,,,,,,,139.5973637,91.81199938,203.9880628,115.6085621,203.5214636,94.14499572,108.8731578857074,125.55877609840621,,
labeled-data\P13_100mlSpark\img558.png,125.40645891077565,80.69621177475322,123.92468256042304,59.20490832503527,135.20565992517626,44.30146879475322,149.01132755035258,31.867861849858976,167.812750920141,27.42130026,186.4218639151058,28.930813610070512,198.3888716,41.8858776,203.05486430000002,50.28466444,211.4536511,57.28365347,220.31903730000002,61.48304689,,,135.39797030000003,89.94560229999999,205.38786059999998,118.4081577,204.4546621,96.47799207,108.46141639074264,125.14703460344148,,
labeled-data\P13_100mlSpark\img574.png,125.59938559999999,83.41321254,117.80403435538781,65.16098327496476,131.6651761,50.75126371,147.9961506,43.75227467,166.193522,44.68547321,182.5244965,49.3514659,200.721868,51.68446224,209.5872541,53.08426005,219.85243799999998,56.35045493,,,,,134.93137099999998,90.87880084,207.720857,119.80795549999999,205.38786059999998,96.94459134,108.8731578857074,125.14703460344145,,
labeled-data\P13_100mlSpark\img585.png,125.15929073091664,81.68426808978849,136.13885842517627,63.76118546496476,152.19554399999998,53.08426005,167.5933199,45.15207248,182.05789719999999,35.35348783,198.3888716,29.28769733,214.71984599999993,31.318667735105784,223.5852321,35.8200871,,,,,,,137.7309666,90.87880084,205.85445990000002,118.874757,204.92126140000002,98.34438914,112.16708984542535,125.55877609840618,,
labeled-data\P13_100mlSpark\img627.png,120.41070316616344,86.95431266957692,135.17792286545833,72.46261463425964,145.3882489604231,54.32010091929491,157.32751958559933,36.25956567468268,175.41517547552883,28.135067699858975,195.3143707604231,22.34356607503524,212.11194446042302,27.119274305105755,221.443929760423,31.20895218503524,231.16038189023655,33.740422721268146,,,,,131.1985769,98.81098841,209.1206548,120.27455479999999,205.85445990000002,97.87778987,116.28450479507279,118.97091217897028,,
labeled-data\P13_100mlSpark\img674.png,120.76758685609292,89.78164535929488,131.25343460503527,73.39581317425964,137.23663034028203,55.2804201546122,147.6663875553878,40.56867463475322,163.5307626553878,30.22089587,181.50870303524678,32.25186626510578,195.1226767,43.75227467,201.6550665,49.81806517,210.05385330000004,52.61766078,220.31903730000002,55.88385567,,,129.3321798,99.74418695,210.98705189999998,118.874757,206.7876584,97.87778987,113.81405582528433,121.02961965379401,,
labeled-data\P13_100mlSpark\img682.png,119.28581060574037,88.6012786494359,123.48582042014102,70.76079087936543,133.86071983021154,53.41402307461217,147.0900727453173,41.14498945482374,164.29938794028206,34.42028929,181.7010135100705,38.674540485035244,196.52247450000002,47.01846955,206.3210592,48.88486663,218.4526402,51.68446224,,,,,129.3321798,96.0113928,208.1874563,118.4081577,204.4546621,96.0113928,113.81405582528433,120.20613666386453,,
labeled-data\P13_100mlSpark\img705.png,132.3228530460224,83.44094960971795,143.0003948553878,67.4120011446122,152.5246906302115,51.19074227468271,161.8566760302115,35.71037154992949,176.67813702014104,26.37838616992946,196.52247450000002,23.22190684,213.78664750000002,28.35449879,222.6520336,32.08729295,,,,,,,143.7967571,96.94459134,211.92025040000001,117.9415584,208.6540555,97.41119061,110.10838237060162,123.08832712861778,,
labeled-data\P13_100mlSpark\img723.png,133.09147823091664,82.61746661978846,139.9542473899295,65.0790048046122,147.090689059718,49.40694004943593,158.7279337,36.28668637,179.25830159999998,31.62069368,197.45567309999998,23.22190684,216.1196438,28.35449879,224.5184307,32.08729295,,,,,,,149.3959484,93.21179718,214.25324680000003,120.27455479999999,211.92025040000001,100.2107862,114.63753881521382,119.38265367393504,,
labeled-data\P13_100mlSpark\img731.png,128.31577002084612,82.9194925746827,131.7194174906346,62.965439554753225,144.5099081654583,48.44600443971795,163.5036420100705,36.12211304489425,180.19150009999998,25.55490318,199.3220701,22.75530757,215.18644530000003,27.88789953,224.5184307,32.55389222,,,,,,,138.66416519999999,96.47799207,213.32004819999997,120.27455479999999,210.98705189999998,99.74418695,111.34360685549586,122.26484413868826,,
