scorer,,,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW
bodyparts,,,vallecula,vallecula,tongueRoot1,tongueRoot1,tongueRoot2,tongueRoot2,tongueBody1,tongueBody1,tongueBody2,tongueBody2,tongueDorsum1,tongueDorsum1,tongueDorsum2,tongueDorsum2,tongueBlade1,tongueBlade1,tongueBlade2,tongueBlade2,tongueTip1,tongueTip1,tongueTip2,tongueTip2,hyoid,hyoid,mandible,mandible,shortTendon,shortTendon,thyroid1,thyroid1,thyroid2,thyroid2
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,P1_cup_100ml_swallow,img177.png,133.18492073202708,89.62532554928248,126.89242453374352,67.8113387285662,134.02392022513152,46.41685165440214,153.3209085665344,34.25135900438724,173.876396147594,27.539363059551476,194.01238398210137,30.895361031969344,207.85587561832517,47.255851147506604,214.98737130971318,56.06534582510358,222.5383667476534,64.03584100959606,230.08936218559376,72.845335687193,238.47935711663848,82.49382985789447,143.67241439583296,105.14681617171524,208.69487511142967,127.38030273898377,207.43637587177295,110.18081313034207,,,,
labeled-data,P1_cup_100ml_swallow,img189.png,134.4434199716838,94.65932250790931,127.31192428029574,72.84533568719303,133.18492073202708,48.51435038716332,152.48190907342996,36.34885773714845,174.7153956406985,32.992859764730554,192.75388474244465,40.54385520267081,209.95337435108632,50.6118491199245,219.18236877523555,59.001844050969225,230.0893621855937,62.77734176993934,242.6743545821608,66.9723392354617,254.00084773907116,67.8113387285662,148.2869116079076,106.82481515792418,210.3728740976386,131.57530020450614,208.2753753648774,115.63430983552115,,,,
labeled-data,P1_cup_100ml_swallow,img198.png,137.79941794410172,97.17632098722274,128.5704235199525,79.13783188547657,133.18492073202705,57.32384506476029,150.38441034066875,47.67535089405885,170.93989792172835,47.25585114750663,193.59288423554915,50.19234937337225,214.98737130971318,51.45084861302897,227.57236370628027,52.289848106133434,239.73785635629514,54.80684658544686,250.22535002010113,56.904345318208044,257.3568457114891,66.97233923546173,149.12591110101204,104.30781667861075,211.21187359074304,129.0583017251927,206.59737637866846,110.18081313034207,,,,
labeled-data,P1_cup_100ml_swallow,img201.png,134.02392022513152,100.53231895964063,122.27792732166891,79.97683137858104,136.54091870444495,63.19684151649159,156.25740679240005,53.54834734579015,178.49089335966863,50.6118491199245,198.20738144762373,49.353349880267785,217.5043697890266,41.80235444232753,229.66986243904148,43.06085368198424,241.83535508905635,45.99735190784989,254.42034748562344,49.353349880267785,263.2298421632204,57.74334481131251,152.06240932687768,107.24431490447643,209.5338746045341,130.31680096484942,206.59737637866846,114.37581059586444,,,,
labeled-data,P1_cup_100ml_swallow,img203.png,145.76991312859417,95.49832200101378,132.34592123892259,81.23533061823778,141.99441540962403,61.518842530282626,162.13040324413134,53.967847092342424,181.42739158553428,48.93385013371554,203.24137840625053,41.38285469577531,223.79686598731013,33.41235951128277,236.38185838387727,34.67085875093949,245.6108528080265,41.38285469577528,251.06434951320546,52.289848106133434,257.77634545804125,62.35784202338709,156.67690653895232,107.66381465102864,212.47037283039975,128.63880197864046,210.3728740976386,114.37581059586446,,,,
labeled-data,P1_cup_100ml_swallow,img205.png,157.0964062855046,93.40082326825262,139.4774169303106,82.07433011134222,143.25291464928074,60.67984303717816,162.13040324413134,51.03134886647672,181.8468913320865,43.06085368198421,203.2413784062506,30.056361538864877,225.47486497351906,32.573360018178334,235.96235863732505,38.86585621646185,243.51335407526528,48.933850133715566,250.22535002010102,59.001844050969225,256.9373459649368,66.13333974235726,164.64740172344483,103.88831693205853,211.63137333729532,129.47780147174495,210.37287409763854,114.79531034241668,,,,
labeled-data,P1_cup_100ml_swallow,img207.png,158.35490552516126,93.40082326825262,149.12591110101204,72.84533568719303,154.15990805963895,49.353349880267785,171.35939766828056,38.02685672335738,191.07588575623572,28.37836255265597,212.05087308384748,21.66636660782021,231.34786142525047,26.28086381989479,241.83535508905624,31.734360525073868,246.86935204768315,42.641353935431994,251.4838492597578,53.12884759923793,258.1958452045936,62.77734176993937,165.90590096310154,102.62981769240182,209.1143748579819,129.47780147174495,208.69487511142967,114.79531034241668,,,,
labeled-data,P1_cup_100ml_swallow,img209.png,157.93540577860904,92.14232402859591,141.99441540962403,75.36233416650643,144.51141388893743,54.80684658544686,158.77440527171348,41.38285469577531,180.16889234587757,30.475861285417125,202.4023789131461,24.602864833685828,225.05536522696684,25.441864326790295,235.96235863732505,28.79786229920819,243.51335407526523,38.02685672335741,250.6448497666533,46.83635140095436,258.61534495114574,55.64584607855133,166.7449004562061,105.14681617171524,208.69487511142972,131.57530020450614,207.4363758717729,115.63430983552115,,,,
labeled-data,P1_cup_100ml_swallow,img211.png,161.71090349757918,90.04482529583473,145.3504133820419,72.84533568719303,147.86741186135532,48.93385013371554,160.8719040044747,30.475861285417153,183.10539057174321,25.861364073342543,204.08037789935503,30.895361031969372,222.9578664942057,25.441864326790295,236.38185838387727,27.958862806103724,248.12785128733987,33.4123595112828,251.90334900631,46.83635140095436,260.71284368390695,55.64584607855133,167.58389994931048,105.14681617171524,212.05087308384753,131.57530020450614,209.95337435108632,116.05380958207337,,,,
labeled-data,P1_cup_100ml_swallow,img213.png,158.35490552516126,87.94732656307355,139.89691667686287,72.84533568719303,142.41391515617624,52.289848106133434,158.35490552516126,37.187857230252945,180.58839209242979,27.958862806103724,204.4998776459073,31.734360525073868,227.15286395972805,26.28086381989479,239.31835660974292,30.056361538864905,248.12785128733992,42.641353935431994,254.00084773907122,53.54834734579018,263.2298421632204,63.616341263043836,170.1008984286239,102.21031794584957,208.2753753648774,133.25329919071507,207.85587561832517,116.05380958207337,,,,
labeled-data,P1_cup_100ml_swallow,img215.png,154.99890755274333,91.72282428204366,139.4774169303106,72.42583594064078,140.3164164234151,45.15835241474542,154.99890755274333,30.056361538864905,178.07139361311636,26.70036356644701,203.2413784062506,30.475861285417125,224.2163657338624,24.602864833685828,236.38185838387727,27.539363059551476,243.51335407526528,37.607356976805164,251.90334900631,49.353349880267785,259.034844697698,58.16284455786476,168.42289944241492,105.14681617171524,210.3728740976386,130.73630071140167,208.2753753648774,116.05380958207337,,,,
labeled-data,P1_cup_100ml_swallow,img240.png,149.1259111010121,93.82032301480484,134.86291971823601,77.45983289926764,131.08742199926587,53.967847092342396,143.25291464928074,36.34885773714845,164.6474017234449,30.895361031969372,185.20288930450437,26.700363566447038,206.59737637866846,32.153860271626115,212.47037283039975,41.38285469577528,216.66537029592212,51.03134886647672,219.18236877523555,62.35784202338712,222.53836674765347,76.2013336596109,163.38890248378812,101.79081819929735,210.3728740976386,128.21930223208824,208.2753753648774,112.27831186310326,,,,
labeled-data,P1_cup_100ml_swallow,img243.png,145.76991312859417,96.33732149411827,129.40942301305694,82.91332960444672,133.6044204785793,61.938342276834874,147.44791211480305,46.416851654402166,162.54990299068362,33.83185925783505,183.94439006484765,27.539363059551476,205.75837688556396,34.25135900438727,212.88987257695203,43.89985317508874,217.92386953557883,53.54834734579015,220.86036776144448,64.4553407561483,223.79686598731018,76.2013336596109,161.29140375102696,102.2103179458496,211.21187359074304,132.4142996976106,209.11437485798183,117.73180856828233,,,,
labeled-data,P1_cup_100ml_swallow,img246.png,145.3504133820419,95.91782174756602,128.15092377340025,79.97683137858104,128.98992326650472,55.64584607855133,142.83341490272846,37.607356976805164,161.71090349757912,26.280863819894762,187.30038803726558,27.119863312999257,206.59737637866846,36.34885773714842,210.79237384419076,45.15835241474542,215.82637080281768,55.22634633199914,218.76286902868338,65.29434024925277,218.34336928213105,75.78183391305865,160.4524042579224,105.98581566481971,211.21187359074304,130.31680096484942,207.01687612522068,116.05380958207337,,,,
labeled-data,P1_cup_100ml_swallow,img247.png,144.09191414238524,90.46432504238695,126.05342504063906,78.71833213892435,125.21442554753456,56.06534582510358,140.3164164234151,40.124355456118565,160.8719040044747,29.21736204576044,185.20288930450442,26.70036356644701,204.91937739245952,37.60735697680519,210.37287409763854,46.41685165440211,214.98737130971318,56.06534582510355,218.76286902868327,66.97233923546173,221.69936725454892,78.29883239237208,160.03290451137013,102.2103179458496,212.05087308384753,129.0583017251927,207.4363758717729,113.53681110275997,,,,
labeled-data,P1_cup_100ml_swallow,img253.png,142.83341490272852,95.4983220010138,126.89242453374352,81.23533061823775,121.43892782856442,62.35784202338709,135.28241946478826,42.641353935431994,154.5794078061911,32.992859764730554,179.74939259932535,30.475861285417153,200.30488018038488,41.80235444232753,207.85587561832517,50.19234937337228,214.1483718166088,60.26034329062591,223.37736624075802,66.13333974235724,233.86485990456384,70.74783695443182,155.4184072992956,104.727316425163,212.4703728303998,130.31680096484942,208.69487511142967,115.2148100889689,,,,
labeled-data,P1_cup_100ml_swallow,img256.png,143.25291464928074,96.75682124067049,126.05342504063906,85.0108283372079,123.11692681477338,64.03584100959608,138.21891769065388,49.772849626820005,153.74040831308668,38.44635646990966,172.19839716138506,31.31486077852162,191.49538550278794,38.02685672335741,204.91937739245947,51.87034835958124,212.47037283039975,59.42134379752147,222.53836674765347,66.55283948890951,234.284359651116,71.1673367009841,150.80391008722097,105.56631591826746,211.2118735907431,129.0583017251927,208.69487511142967,115.2148100889689,,,,
labeled-data,P1_cup_100ml_swallow,img259.png,141.99441540962408,96.33732149411827,133.6044204785793,78.2988323923721,132.34592123892253,57.74334481131254,147.4479121148031,41.38285469577531,168.0033996958627,32.99285976473058,188.5588872769223,38.86585621646185,201.98287916659388,50.6118491199245,209.95337435108632,57.32384506476026,217.9238695355789,64.8748405027005,230.0893621855937,68.6503382216707,240.15735610284736,68.65033822167067,149.12591110101204,107.66381465102864,208.6948751114296,125.28280400622259,207.85587561832517,112.27831186310328,,,,
